"","year","iso3","mmr","scenario"
"80","2001","CMR",629.3,"-0.02 (Current rate of change)"
"81","2001","COG",641.4,"-0.042 (Current rate of change)"
"82","2001","ERI",654.1,"-0.041 (Current rate of change)"
"83","2001","MRT",658.3,"-0.019 (Current rate of change)"
"84","2001","COD",660.9,"-0.01 (Current rate of change)"
"85","2001","MLI",683.8,"-0.026 (Current rate of change)"
"86","2001","TZA",707.3,"-0.058 (Current rate of change)"
"87","2001","LBR",746.8,"-0.009 (Current rate of change)"
"88","2001","GMB",747.8,"-0.026 (Current rate of change)"
"89","2001","AGO",799.6,"-0.068 (Current rate of change)"
"90","2001","BDI",823,"-0.028 (Current rate of change)"
"91","2001","NER",877.9,"-0.034 (Current rate of change)"
"92","2001","RWA",894.7,"-0.068 (Current rate of change)"
"93","2001","GIN",942.9,"-0.028 (Current rate of change)"
"94","2001","ETH",955.1,"-0.064 (Current rate of change)"
"95","2002","NGA",1112,"-0.005 (Current rate of change)"
"96","2002","GNB",1136,"-0.029 (Current rate of change)"
"97","2002","CAF",1281,"-0.023 (Current rate of change)"
"98","2002","TCD",1291,"-0.013 (Current rate of change)"
"99","2002","SLE",1493,"-0.067 (Current rate of change)"
"100","2002","DZA",150.4,"-0.036 (Current rate of change)"
"101","2002","SSD",1668,"-0.016 (Current rate of change)"
"102","2002","STP",169.6,"-0.01 (Current rate of change)"
"103","2002","BWA",174.2,"0.001 (Current rate of change)"
"104","2002","ZAF",193.4,"-0.016 (Current rate of change)"
"105","2002","GAB",238.2,"-0.005 (Current rate of change)"
"106","2002","ZMB",337.1,"-0.057 (Current rate of change)"
"107","2002","SYC",35.44,"-0.129 (Current rate of change)"
"108","2002","GNQ",350.6,"-0.035 (Current rate of change)"
"109","2002","COM",392.2,"-0.037 (Current rate of change)"
"110","2002","GHA",443,"-0.032 (Current rate of change)"
"111","2002","ZWE",442.7,"-0.004 (Current rate of change)"
"112","2002","NAM",446.5,"-0.037 (Current rate of change)"
"113","2002","UGA",452.5,"-0.024 (Current rate of change)"
"114","2002","TGO",461.2,"-0.009 (Current rate of change)"
"115","2002","MOZ",460.7,"-0.072 (Current rate of change)"
"116","2002","MUS",48.34,"0.024 (Current rate of change)"
"117","2002","MWI",489.9,"-0.02 (Current rate of change)"
"118","2002","BFA",497,"-0.033 (Current rate of change)"
"119","2002","BEN",505.3,"0.005 (Current rate of change)"
"120","2002","CIV",519.8,"0.001 (Current rate of change)"
"121","2002","KEN",536.3,"-0.003 (Current rate of change)"
"122","2002","LSO",590.2,"0.002 (Current rate of change)"
"123","2002","SEN",597.8,"-0.045 (Current rate of change)"
"124","2002","SWZ",606.8,"-0.045 (Current rate of change)"
"125","2002","CMR",610.6,"-0.02 (Current rate of change)"
"126","2002","COG",619.6,"-0.042 (Current rate of change)"
"127","2002","MLI",621.2,"-0.026 (Current rate of change)"
"128","2002","MDG",636.6,"-0.026 (Current rate of change)"
"129","2002","ERI",642.8,"-0.041 (Current rate of change)"
"130","2002","COD",662.2,"-0.01 (Current rate of change)"
"131","2002","MRT",671.2,"-0.019 (Current rate of change)"
"132","2002","TZA",672.2,"-0.058 (Current rate of change)"
"133","2002","AGO",758.3,"-0.068 (Current rate of change)"
"134","2002","LBR",758.3,"-0.009 (Current rate of change)"
"135","2002","GMB",772.3,"-0.026 (Current rate of change)"
"136","2002","BDI",779.4,"-0.028 (Current rate of change)"
"137","2002","RWA",817.9,"-0.068 (Current rate of change)"
"138","2002","NER",870.8,"-0.034 (Current rate of change)"
"139","2002","GIN",928.6,"-0.028 (Current rate of change)"
"140","2002","CPV",95.82,"-0.054 (Current rate of change)"
"141","2002","ETH",960.5,"-0.064 (Current rate of change)"
"142","2003","NGA",1084,"-0.005 (Current rate of change)"
"143","2003","GNB",1100,"-0.029 (Current rate of change)"
"144","2003","CAF",1248,"-0.023 (Current rate of change)"
"145","2003","TCD",1255,"-0.013 (Current rate of change)"
"146","2003","SSD",1404,"-0.016 (Current rate of change)"
"147","2003","SLE",1451,"-0.067 (Current rate of change)"
"148","2003","DZA",153,"-0.036 (Current rate of change)"
"149","2003","STP",166.3,"-0.01 (Current rate of change)"
"150","2003","BWA",184.5,"0.001 (Current rate of change)"
"151","2003","ZAF",205,"-0.016 (Current rate of change)"
"152","2003","GAB",223.4,"-0.005 (Current rate of change)"
"153","2003","ZMB",308.2,"-0.057 (Current rate of change)"
"154","2003","GNQ",317.5,"-0.035 (Current rate of change)"
"155","2003","SYC",34.16,"-0.129 (Current rate of change)"
"156","2003","COM",385.2,"-0.037 (Current rate of change)"
"157","2003","GHA",423.5,"-0.032 (Current rate of change)"
"158","2003","MOZ",441.6,"-0.072 (Current rate of change)"
"159","2003","MWI",445.1,"-0.02 (Current rate of change)"
"160","2003","UGA",448.6,"-0.024 (Current rate of change)"
"161","2003","NAM",451,"-0.037 (Current rate of change)"
"162","2003","BFA",456.5,"-0.033 (Current rate of change)"
"163","2003","TGO",457.5,"-0.009 (Current rate of change)"
"164","2003","MUS",47.01,"0.024 (Current rate of change)"
"165","2003","BEN",504.6,"0.005 (Current rate of change)"
"166","2003","KEN",525.5,"-0.003 (Current rate of change)"
"167","2003","ZWE",533.9,"-0.004 (Current rate of change)"
"168","2003","CIV",539.5,"0.001 (Current rate of change)"
"169","2003","SEN",564.8,"-0.045 (Current rate of change)"
"170","2003","CMR",574.4,"-0.02 (Current rate of change)"
"171","2003","MLI",586.3,"-0.026 (Current rate of change)"
"172","2003","COG",587.1,"-0.042 (Current rate of change)"
"173","2003","LSO",609.7,"0.002 (Current rate of change)"
"174","2003","ERI",619.2,"-0.041 (Current rate of change)"
"175","2003","TZA",625.1,"-0.058 (Current rate of change)"
"176","2003","MDG",625.6,"-0.026 (Current rate of change)"
"177","2003","COD",654.5,"-0.01 (Current rate of change)"
"178","2003","SWZ",660.2,"-0.045 (Current rate of change)"
"179","2003","AGO",676.5,"-0.068 (Current rate of change)"
"180","2003","MRT",678.3,"-0.019 (Current rate of change)"
"181","2003","RWA",715,"-0.068 (Current rate of change)"
"182","2003","GMB",769.6,"-0.026 (Current rate of change)"
"183","2003","BDI",779,"-0.028 (Current rate of change)"
"184","2003","LBR",805.1,"-0.009 (Current rate of change)"
"185","2003","CPV",81.81,"-0.054 (Current rate of change)"
"186","2003","NER",862.9,"-0.034 (Current rate of change)"
"187","2003","ETH",906.1,"-0.064 (Current rate of change)"
"188","2003","GIN",915.6,"-0.028 (Current rate of change)"
"189","2004","GNB",1008,"-0.029 (Current rate of change)"
"190","2004","NGA",1088,"-0.005 (Current rate of change)"
"191","2004","CAF",1217,"-0.023 (Current rate of change)"
"192","2004","TCD",1229,"-0.013 (Current rate of change)"
"193","2004","SLE",1367,"-0.067 (Current rate of change)"
"194","2004","DZA",136.8,"-0.036 (Current rate of change)"
"195","2004","SSD",1372,"-0.016 (Current rate of change)"
"196","2004","STP",158.6,"-0.01 (Current rate of change)"
"197","2004","BWA",196.2,"0.001 (Current rate of change)"
"198","2004","GAB",227,"-0.005 (Current rate of change)"
"199","2004","ZAF",231.9,"-0.016 (Current rate of change)"
"200","2004","GNQ",285.6,"-0.035 (Current rate of change)"
"201","2004","SYC",30.66,"-0.129 (Current rate of change)"
"202","2004","ZMB",311.7,"-0.057 (Current rate of change)"
"203","2004","COM",374.4,"-0.037 (Current rate of change)"
"204","2004","MWI",386,"-0.02 (Current rate of change)"
"205","2004","NAM",401.8,"-0.037 (Current rate of change)"
"206","2004","GHA",420.4,"-0.032 (Current rate of change)"
"207","2004","MOZ",419.9,"-0.072 (Current rate of change)"
"208","2004","BFA",438.3,"-0.033 (Current rate of change)"
"209","2004","UGA",442.4,"-0.024 (Current rate of change)"
"210","2004","MUS",45.74,"0.024 (Current rate of change)"
"211","2004","ZWE",488.1,"-0.004 (Current rate of change)"
"212","2004","TGO",489.6,"-0.009 (Current rate of change)"
"213","2004","KEN",504.1,"-0.003 (Current rate of change)"
"214","2004","BEN",520,"0.005 (Current rate of change)"
"215","2004","CIV",536.1,"0.001 (Current rate of change)"
"216","2004","COG",541.1,"-0.042 (Current rate of change)"
"217","2004","SEN",549.7,"-0.045 (Current rate of change)"
"218","2004","LSO",554.8,"0.002 (Current rate of change)"
"219","2004","CMR",555.6,"-0.02 (Current rate of change)"
"220","2004","MLI",562.7,"-0.026 (Current rate of change)"
"221","2004","ERI",575.1,"-0.041 (Current rate of change)"
"222","2004","TZA",588.1,"-0.058 (Current rate of change)"
"223","2004","AGO",594.2,"-0.068 (Current rate of change)"
"224","2004","MDG",597.8,"-0.026 (Current rate of change)"
"225","2004","RWA",598.7,"-0.068 (Current rate of change)"
"226","2004","COD",643.3,"-0.01 (Current rate of change)"
"227","2004","MRT",657.1,"-0.019 (Current rate of change)"
"228","2004","SWZ",662.8,"-0.045 (Current rate of change)"
"229","2004","LBR",699.8,"-0.009 (Current rate of change)"
"230","2004","CPV",73.65,"-0.054 (Current rate of change)"
"231","2004","BDI",739.6,"-0.028 (Current rate of change)"
"232","2004","GMB",744.9,"-0.026 (Current rate of change)"
"233","2004","NER",801.3,"-0.034 (Current rate of change)"
"234","2004","GIN",887.2,"-0.028 (Current rate of change)"
"235","2004","ETH",900.4,"-0.064 (Current rate of change)"
"236","2005","NGA",1073,"-0.005 (Current rate of change)"
"237","2005","CAF",1158,"-0.023 (Current rate of change)"
"238","2005","TCD",1241,"-0.013 (Current rate of change)"
"239","2005","SLE",1327,"-0.067 (Current rate of change)"
"240","2005","SSD",1332,"-0.016 (Current rate of change)"
"241","2005","DZA",143.5,"-0.036 (Current rate of change)"
"242","2005","SYC",14.96,"-0.129 (Current rate of change)"
"243","2005","STP",159.7,"-0.01 (Current rate of change)"
"244","2005","BWA",201.5,"0.001 (Current rate of change)"
"245","2005","ZAF",220.6,"-0.016 (Current rate of change)"
"246","2005","GAB",239.4,"-0.005 (Current rate of change)"
"247","2005","GNQ",258.2,"-0.035 (Current rate of change)"
"248","2005","ZMB",309.3,"-0.057 (Current rate of change)"
"249","2005","MWI",346.9,"-0.02 (Current rate of change)"
"250","2005","COM",360.5,"-0.037 (Current rate of change)"
"251","2005","GHA",389.8,"-0.032 (Current rate of change)"
"252","2005","MOZ",403.9,"-0.072 (Current rate of change)"
"253","2005","BFA",416.9,"-0.033 (Current rate of change)"
"254","2005","NAM",418.9,"-0.037 (Current rate of change)"
"255","2005","UGA",435.4,"-0.024 (Current rate of change)"
"256","2005","MUS",47.66,"0.024 (Current rate of change)"
"257","2005","COG",487.8,"-0.042 (Current rate of change)"
"258","2005","TGO",494.5,"-0.009 (Current rate of change)"
"259","2005","KEN",503.4,"-0.003 (Current rate of change)"
"260","2005","BEN",509.2,"0.005 (Current rate of change)"
"261","2005","SEN",518.6,"-0.045 (Current rate of change)"
"262","2005","RWA",532.6,"-0.068 (Current rate of change)"
"263","2005","ZWE",533.1,"-0.004 (Current rate of change)"
"264","2005","CIV",540.3,"0.001 (Current rate of change)"
"265","2005","ERI",546,"-0.041 (Current rate of change)"
"266","2005","AGO",549.8,"-0.068 (Current rate of change)"
"267","2005","TZA",559.4,"-0.058 (Current rate of change)"
"268","2005","MLI",560.3,"-0.026 (Current rate of change)"
"269","2005","LSO",562.9,"0.002 (Current rate of change)"
"270","2005","MDG",567.5,"-0.026 (Current rate of change)"
"271","2005","CMR",572.9,"-0.02 (Current rate of change)"
"272","2005","COD",634.8,"-0.01 (Current rate of change)"
"273","2005","MRT",652.1,"-0.019 (Current rate of change)"
"274","2005","LBR",676.5,"-0.009 (Current rate of change)"
"275","2005","SWZ",678,"-0.045 (Current rate of change)"
"276","2005","BDI",712.8,"-0.028 (Current rate of change)"
"277","2005","GMB",718.4,"-0.026 (Current rate of change)"
"278","2005","NER",767.9,"-0.034 (Current rate of change)"
"279","2005","CPV",76.89,"-0.054 (Current rate of change)"
"280","2005","GIN",845.6,"-0.028 (Current rate of change)"
"281","2005","ETH",879.9,"-0.064 (Current rate of change)"
"282","2005","GNB",976.9,"-0.029 (Current rate of change)"
"283","2006","NGA",1071,"-0.005 (Current rate of change)"
"284","2006","CAF",1116,"-0.023 (Current rate of change)"
"285","2006","SLE",1225,"-0.067 (Current rate of change)"
"286","2006","TCD",1255,"-0.013 (Current rate of change)"
"287","2006","SSD",1301,"-0.016 (Current rate of change)"
"288","2006","DZA",134.5,"-0.036 (Current rate of change)"
"289","2006","SYC",13.81,"-0.129 (Current rate of change)"
"290","2006","STP",161.6,"-0.01 (Current rate of change)"
"291","2006","ZAF",208.3,"-0.016 (Current rate of change)"
"292","2006","BWA",213,"0.001 (Current rate of change)"
"293","2006","GAB",238.6,"-0.005 (Current rate of change)"
"294","2006","GNQ",240.8,"-0.035 (Current rate of change)"
"295","2006","ZMB",306.1,"-0.057 (Current rate of change)"
"296","2006","MWI",326.4,"-0.02 (Current rate of change)"
"297","2006","COM",364.9,"-0.037 (Current rate of change)"
"298","2006","GHA",364.7,"-0.032 (Current rate of change)"
"299","2006","MOZ",389.6,"-0.072 (Current rate of change)"
"300","2006","BFA",405.9,"-0.033 (Current rate of change)"
"301","2006","UGA",416.2,"-0.024 (Current rate of change)"
"302","2006","NAM",420.3,"-0.037 (Current rate of change)"
"303","2006","MUS",42.96,"0.024 (Current rate of change)"
"304","2006","COG",479.1,"-0.042 (Current rate of change)"
"305","2006","RWA",482.7,"-0.068 (Current rate of change)"
"306","2006","SEN",489.8,"-0.045 (Current rate of change)"
"307","2006","KEN",493.4,"-0.003 (Current rate of change)"
"308","2006","BEN",502.9,"0.005 (Current rate of change)"
"309","2006","AGO",507.7,"-0.068 (Current rate of change)"
"310","2006","TGO",517.4,"-0.009 (Current rate of change)"
"311","2006","ERI",522.1,"-0.041 (Current rate of change)"
"312","2006","MDG",537.3,"-0.026 (Current rate of change)"
"313","2006","TZA",546.7,"-0.058 (Current rate of change)"
"314","2006","MLI",548.8,"-0.026 (Current rate of change)"
"315","2006","CMR",558.3,"-0.02 (Current rate of change)"
"316","2006","ZWE",558.2,"-0.004 (Current rate of change)"
"317","2006","CIV",582.8,"0.001 (Current rate of change)"
"318","2006","COD",618.6,"-0.01 (Current rate of change)"
"319","2006","LSO",632.1,"0.002 (Current rate of change)"
"320","2006","SWZ",643.6,"-0.045 (Current rate of change)"
"321","2006","MRT",654.3,"-0.019 (Current rate of change)"
"322","2006","LBR",664.5,"-0.009 (Current rate of change)"
"323","2006","GMB",689.3,"-0.026 (Current rate of change)"
"324","2006","BDI",695.6,"-0.028 (Current rate of change)"
"325","2006","CPV",72.6,"-0.054 (Current rate of change)"
"326","2006","NER",734.9,"-0.034 (Current rate of change)"
"327","2006","ETH",814.2,"-0.064 (Current rate of change)"
"328","2006","GIN",817.4,"-0.028 (Current rate of change)"
"329","2006","GNB",874.8,"-0.029 (Current rate of change)"
"330","2007","NGA",1081,"-0.005 (Current rate of change)"
"331","2007","CAF",1124,"-0.023 (Current rate of change)"
"332","2007","SLE",1125,"-0.067 (Current rate of change)"
"333","2007","SSD",1187,"-0.016 (Current rate of change)"
"334","2007","DZA",125.1,"-0.036 (Current rate of change)"
"335","2007","TCD",1264,"-0.013 (Current rate of change)"
"336","2007","SYC",12.69,"-0.129 (Current rate of change)"
"337","2007","STP",149,"-0.01 (Current rate of change)"
"338","2007","BWA",215.6,"0.001 (Current rate of change)"
"339","2007","ZAF",218.1,"-0.016 (Current rate of change)"
"340","2007","GNQ",233.5,"-0.035 (Current rate of change)"
"341","2007","GAB",238.3,"-0.005 (Current rate of change)"
"342","2007","ZMB",295.9,"-0.057 (Current rate of change)"
"343","2007","MWI",351.6,"-0.02 (Current rate of change)"
"344","2007","GHA",353.9,"-0.032 (Current rate of change)"
"345","2007","COM",358.5,"-0.037 (Current rate of change)"
"346","2007","MOZ",378.9,"-0.072 (Current rate of change)"
"347","2007","UGA",381.8,"-0.024 (Current rate of change)"
"348","2007","BFA",400.3,"-0.033 (Current rate of change)"
"349","2007","NAM",427.1,"-0.037 (Current rate of change)"
"350","2007","MUS",42.87,"0.024 (Current rate of change)"
"351","2007","COG",439.4,"-0.042 (Current rate of change)"
"352","2007","AGO",463,"-0.068 (Current rate of change)"
"353","2007","RWA",464.7,"-0.068 (Current rate of change)"
"354","2007","SEN",476.7,"-0.045 (Current rate of change)"
"355","2007","BEN",488.3,"0.005 (Current rate of change)"
"356","2007","KEN",494.1,"-0.003 (Current rate of change)"
"357","2007","TGO",515.4,"-0.009 (Current rate of change)"
"358","2007","ERI",520.6,"-0.041 (Current rate of change)"
"359","2007","MDG",520.8,"-0.026 (Current rate of change)"
"360","2007","CMR",528.9,"-0.02 (Current rate of change)"
"361","2007","TZA",566,"-0.058 (Current rate of change)"
"362","2007","MLI",570.5,"-0.026 (Current rate of change)"
"363","2007","CIV",589.4,"0.001 (Current rate of change)"
"364","2007","COD",628.5,"-0.01 (Current rate of change)"
"365","2007","MRT",637.7,"-0.019 (Current rate of change)"
"366","2007","ZWE",656.4,"-0.004 (Current rate of change)"
"367","2007","CPV",66.07,"-0.054 (Current rate of change)"
"368","2007","LBR",662.8,"-0.009 (Current rate of change)"
"369","2007","SWZ",663.6,"-0.045 (Current rate of change)"
"370","2007","BDI",676.2,"-0.028 (Current rate of change)"
"371","2007","GMB",698.4,"-0.026 (Current rate of change)"
"372","2007","LSO",702.6,"0.002 (Current rate of change)"
"373","2007","NER",704.2,"-0.034 (Current rate of change)"
"374","2007","GIN",764.5,"-0.028 (Current rate of change)"
"375","2007","ETH",780.3,"-0.064 (Current rate of change)"
"376","2007","GNB",844.7,"-0.029 (Current rate of change)"
"377","2008","NGA",1099,"-0.005 (Current rate of change)"
"378","2008","SYC",11.3,"-0.129 (Current rate of change)"
"379","2008","CAF",1108,"-0.023 (Current rate of change)"
"380","2008","SSD",1138,"-0.016 (Current rate of change)"
"381","2008","DZA",116.5,"-0.036 (Current rate of change)"
"382","2008","TCD",1245,"-0.013 (Current rate of change)"
"383","2008","STP",149.6,"-0.01 (Current rate of change)"
"384","2008","ZAF",215.6,"-0.016 (Current rate of change)"
"385","2008","GAB",219.4,"-0.005 (Current rate of change)"
"386","2008","BWA",221.8,"0.001 (Current rate of change)"
"387","2008","GNQ",230.7,"-0.035 (Current rate of change)"
"388","2008","ZMB",319.6,"-0.057 (Current rate of change)"
"389","2008","GHA",353.7,"-0.032 (Current rate of change)"
"390","2008","COM",360.9,"-0.037 (Current rate of change)"
"391","2008","MOZ",374.2,"-0.072 (Current rate of change)"
"392","2008","BFA",374.5,"-0.033 (Current rate of change)"
"393","2008","UGA",390.8,"-0.024 (Current rate of change)"
"394","2008","COG",414.9,"-0.042 (Current rate of change)"
"395","2008","MWI",419.6,"-0.02 (Current rate of change)"
"396","2008","RWA",432,"-0.068 (Current rate of change)"
"397","2008","NAM",433,"-0.037 (Current rate of change)"
"398","2008","AGO",438.3,"-0.068 (Current rate of change)"
"399","2008","MUS",45.08,"0.024 (Current rate of change)"
"400","2008","KEN",483.5,"-0.003 (Current rate of change)"
"401","2008","SEN",490.8,"-0.045 (Current rate of change)"
"402","2008","BEN",504.1,"0.005 (Current rate of change)"
"403","2008","MDG",526.4,"-0.026 (Current rate of change)"
"404","2008","TGO",528.1,"-0.009 (Current rate of change)"
"405","2008","ERI",529.4,"-0.041 (Current rate of change)"
"406","2008","CMR",531.9,"-0.02 (Current rate of change)"
"407","2008","MLI",585.7,"-0.026 (Current rate of change)"
"408","2008","CIV",588.7,"0.001 (Current rate of change)"
"409","2008","TZA",604.6,"-0.058 (Current rate of change)"
"410","2008","COD",620.6,"-0.01 (Current rate of change)"
"411","2008","BDI",630,"-0.028 (Current rate of change)"
"412","2008","LBR",632.3,"-0.009 (Current rate of change)"
"413","2008","MRT",634.4,"-0.019 (Current rate of change)"
"414","2008","GMB",667.2,"-0.026 (Current rate of change)"
"415","2008","NER",672.6,"-0.034 (Current rate of change)"
"416","2008","ZWE",684.8,"-0.004 (Current rate of change)"
"417","2008","CPV",69.26,"-0.054 (Current rate of change)"
"418","2008","SWZ",691.4,"-0.045 (Current rate of change)"
"419","2008","ETH",724.7,"-0.064 (Current rate of change)"
"420","2008","GIN",736.8,"-0.028 (Current rate of change)"
"421","2008","GNB",841.1,"-0.029 (Current rate of change)"
"422","2008","LSO",873.7,"0.002 (Current rate of change)"
"423","2008","SLE",972.6,"-0.067 (Current rate of change)"
"424","2009","SYC",10.37,"-0.129 (Current rate of change)"
"425","2009","LSO",1096,"0.002 (Current rate of change)"
"426","2009","NGA",1101,"-0.005 (Current rate of change)"
"427","2009","CAF",1105,"-0.023 (Current rate of change)"
"428","2009","SSD",1118,"-0.016 (Current rate of change)"
"429","2009","DZA",114.6,"-0.036 (Current rate of change)"
"430","2009","TCD",1311,"-0.013 (Current rate of change)"
"431","2009","STP",157,"-0.01 (Current rate of change)"
"432","2009","BWA",185.3,"0.001 (Current rate of change)"
"433","2009","GAB",211.8,"-0.005 (Current rate of change)"
"434","2009","ZAF",225.3,"-0.016 (Current rate of change)"
"435","2009","GNQ",230.3,"-0.035 (Current rate of change)"
"436","2009","COM",311.1,"-0.037 (Current rate of change)"
"437","2009","ZMB",326.6,"-0.057 (Current rate of change)"
"438","2009","GHA",337.2,"-0.032 (Current rate of change)"
"439","2009","MOZ",355.1,"-0.072 (Current rate of change)"
"440","2009","BFA",368.4,"-0.033 (Current rate of change)"
"441","2009","UGA",391.4,"-0.024 (Current rate of change)"
"442","2009","AGO",398.9,"-0.068 (Current rate of change)"
"443","2009","RWA",401.1,"-0.068 (Current rate of change)"
"444","2009","COG",414.9,"-0.042 (Current rate of change)"
"445","2009","NAM",459.4,"-0.037 (Current rate of change)"
"446","2009","KEN",464.1,"-0.003 (Current rate of change)"
"447","2009","SEN",471.3,"-0.045 (Current rate of change)"
"448","2009","MWI",475.5,"-0.02 (Current rate of change)"
"449","2009","ERI",481.1,"-0.041 (Current rate of change)"
"450","2009","MUS",49.41,"0.024 (Current rate of change)"
"451","2009","MDG",507.1,"-0.026 (Current rate of change)"
"452","2009","TGO",517.9,"-0.009 (Current rate of change)"
"453","2009","CMR",533.7,"-0.02 (Current rate of change)"
"454","2009","MLI",553.4,"-0.026 (Current rate of change)"
"455","2009","TZA",556.2,"-0.058 (Current rate of change)"
"456","2009","CPV",57.77,"-0.054 (Current rate of change)"
"457","2009","BEN",583.7,"0.005 (Current rate of change)"
"458","2009","MRT",590.4,"-0.019 (Current rate of change)"
"459","2009","COD",603.1,"-0.01 (Current rate of change)"
"460","2009","BDI",618.3,"-0.028 (Current rate of change)"
"461","2009","CIV",619.4,"0.001 (Current rate of change)"
"462","2009","LBR",638,"-0.009 (Current rate of change)"
"463","2009","NER",644.3,"-0.034 (Current rate of change)"
"464","2009","GMB",647.1,"-0.026 (Current rate of change)"
"465","2009","ZWE",669.9,"-0.004 (Current rate of change)"
"466","2009","ETH",683.8,"-0.064 (Current rate of change)"
"467","2009","GIN",744.3,"-0.028 (Current rate of change)"
"468","2009","SWZ",783.4,"-0.045 (Current rate of change)"
"469","2009","GNB",803.5,"-0.029 (Current rate of change)"
"470","2009","SLE",901,"-0.067 (Current rate of change)"
